region,juvenile_offenders_share_pct,digital_deviation_risk_index,internet_active_users_2023_pct,internet_active_users_2024_pct,internet_active_users_2025_pct,school_students_share_2023_pct,registered_crimes_2025,registered_crimes_per_100k_2025,underage_criminals_per_100k_pop,population_2024,life_quality_2025,healthy_lifestyle_pct,gini_coeff,not_smoking_male_pct,not_smoking_female_pct,num_of_criminals,num_of_alcohol_crimes,num_of_female_crimes,num_of_drugs_crimes,num_of_underaged_criminals,life_quality,population_size,num_of_crimes,school_students_share_2021_pct,school_students_share_2022_pct,population_2019_2024_avg,registered_crimes_2023,registered_crimes_2024,it_diplomas_per_100k_2023,it_diplomas_per_100k_2024,it_diplomas_per_100k_2025,life_quality_2024,life_quality_avg
Чувашская Республика,0.339983333,,86.5,88.7,90,13,10725.0,,,,62.624,16.066666666666666,0.3541999999999999,64.65950112,96.27400214,5131.0,1960.0,830.0,88.33333333,179.0,62.0835,1185785.0,12237.4,12.394624599088031,12.714839328731625,,12887.0,12278.0,1.42,1.28,1.29,61.543,62.0835
Пермский край,0.5116999999999999,64.50167165725864,92.2,93,95.5,13.6,39433.0,1580.312479711582,24.025494676719838,2495266.0,58.138,6.183333333333333,0.3872,58.27572970798593,86.82051100233474,14256.333333333334,6032.833333333333,2636.5,155.16666666666666,599.5,57.0635,2532746.333333333,41288.8,12.928291507168968,13.323372204966915,2532746.3333333335,41902.0,43488.0,0.74,0.68,0.68,55.989,57.0635
Кировская область,0.6085666666666668,67.91490118661126,86.3,90.2,92.2,13,17887.0,1583.0114121608765,26.756701344177614,1129935.0,49.068,6.800000000000001,0.35,60.61010983119117,91.80341606645824,7162.333333333333,3291.833333333333,1252.6666666666667,24.666666666666668,302.3333333333333,48.266,1158719.5,18706.8,12.326898267639729,12.749657145641747,1158719.5,18698.0,19396.0,1.62,2.02,1.68,47.464,48.266
Нижегородская область,0.39605,,,,,,32729.0,1069.4580822034188,16.076671344803756,3060335.0,66.212,6.116666666666667,0.3946,62.2451569008626,91.72299599882383,13799.666666666666,4870.5,2361.6666666666665,108.5,492.0,65.68100000000001,3115741.833333333,36730.2,,,3115741.8333333335,37463.0,33525.0,1.08,0.94,0.98,65.15,65.68100000000001
Оренбургская область,0.3734166666666667,48.93842782397897,92.6,98.8,99.1,13.6,18948.0,1036.1708270992467,17.480962338825165,1828656.0,57.636,6.833333333333333,0.372,61.07279875389107,93.87971210129838,10946.333333333334,4199.5,1793.5,80.66666666666667,319.6666666666667,57.212500000000006,1862136.0,21686.2,13.033592594740737,13.419633027819556,1862136.0,22205.0,20547.0,0.47,0.65,0.55,56.789,57.212500000000006
Пензенская область,0.3024666666666666,17.961139890634488,86.4,88.4,91.2,10.8,11098.0,897.8143583960365,12.080880415733297,1236113.0,60.446,10.733333333333334,0.3607999999999999,58.59022854019035,95.13272746899898,6186.333333333333,2377.5,1016.5,22.83333333333333,149.33333333333334,59.1535,1264872.5,13231.2,10.3213789155788,10.671451895681797,1264872.5,13848.0,14466.0,0.94,0.88,0.65,57.861,59.153499999999994
Самарская область,0.3530166666666667,39.251745073562496,90.8,92,95.4,11.6,43977.0,1405.9853406917614,14.157791005214884,3127842.0,67.802,10.1,0.3716,63.17002404839194,93.07195173202383,13763.666666666666,4222.833333333333,2466.0,268.0,442.8333333333333,67.41550000000001,3165386.0,46097.2,11.017820871642549,11.347769423685621,3165386.0,47595.0,48574.0,0.51,0.67,0.83,67.029,67.41550000000001
Саратовская область,0.3678166666666667,42.65723029732343,93,93.8,96,10.7,26820.0,1124.451452584163,14.869703524105763,2385163.0,57.916,8.233333333333333,0.3647999999999999,59.53179521421153,90.08343306395,11209.833333333334,3992.6666666666665,1903.8333333333333,254.8333333333333,354.6666666666667,56.839,2432467.6666666665,28979.6,10.241104554595,10.504514169407637,2432467.6666666665,29387.0,29660.0,0.59,0.37,0.29,55.762,56.839
Ульяновская область,0.44825,38.495805995001206,87.4,92.9,93.4,11.1,9887.0,843.0381775982238,17.494015653946484,1172782.0,62.142,6.9,0.3541999999999999,62.40926935206652,93.4887886620376,5411.666666666667,2046.8333333333333,896.8333333333334,29.666666666666668,205.16666666666663,60.708,1195548.3333333333,11327.0,10.458946342902067,10.827156380883489,1195548.3333333333,11591.0,10722.0,0.83,1.02,1.71,59.274,60.708
Курганская область,0.6139833333333333,72.58913654396964,92.6,94.4,94.5,13.4,10633.0,1412.081242812104,29.570527922457927,753002.0,45.08,9.083333333333334,0.3601999999999999,62.97040886546539,91.29023022086746,5836.333333333333,2666.6666666666665,1042.1666666666667,42.5,222.66666666666663,44.245,776181.1666666666,12759.4,12.919506289344074,13.29195216564897,776181.1666666666,13078.0,11865.0,0.87,0.79,0.66,43.41,44.245
